LSR_GOODS_CD,LSR_GOODS_NM
36078,[경기 가평] 까사 32 풀파티
36084,[제주 서귀포] 해양 레저파크
36085,[경기 파주] 메디테리움 의학박물관
36086,[서울 여의도] 아이봇 피크닉
36088,[서울 강남] 전시 위대한낙서展 : OBEY THE MOVEMENT
36089,[경남 하동] 레일바이크
36105,[경기 가평] 2018 레드존 풀파티
36106,[경기 과천] 서울랜드 BIG5 + 야외풀장 패키지 (7/16~8/19)
36107,[경기 과천] 서울랜드 BIG5 + AR안전체험관 패키지 (7/16~8/19)
36108,[경기 가평] 캠프통아일랜드 수상레저 1인권
36109,[경기 용인] 한택식물원
36111,[서울 강남] 피규어뮤지엄 W(키덜트)
36112,[서울 용산] 은하철도999 갤럭시 오디세이展
36113,[속초/서울] 에코다이버스 1박2일 스쿠버다이빙 자격증 코스
36116,[인천 송도] 인스타지아 거울정원
36118,[강남/명동/동대문/잠실/서면/광주/부산] 레전드히어로즈 7개지점 : ★핫딜특가
36131,[경기 용인] 에버랜드 슈퍼워터건 패키지
36132,[경기 용인] 에버랜드 썸머워터펀 이용권
36135,[경남 양산] 에덴벨리 워터파크
36138,[경남 고성] 블루웨일 워터파크
36141,[경기 부천] 웅진 플레이도시 디지털키즈카페 플랜디
36142,[전남 여수] 테디베어뮤지엄
36144,[서울 용산] 남산 헬로키티아일랜드
36149,[경기 김포] 피싱파크 진산각 여름 물놀이장
36160,[제주 제주시] 제주 난타공연
36162,[제주 서귀포시] 제주도 왕발통 송악산점
36163,[제주 서귀포시] 망고레이 송악산점
36166,[제주 서귀포] 베이힐풀빌라 나니아레스토랑
36169,[강원 강릉] 정동진패러마을 : ★핫딜특가
36170,[제주 서귀포] 서귀포 KAL호텔 살레뷔페
36173,[제주 서귀포] 옐로우카페 음료이용권
36176,[강원 평창] 휘닉스평창 블루캐니언 세트권 : 극성수기 7/14~8/26
36177,[제주 조천] 에코랜드 입장권 + e페달카약
